day,location,redds
2003-07-02,rkm470,12
2003-07-09,rkm470,36
2003-07-16,rkm470,18
2003-07-25,rkm470,10
2003-07-30,rkm470,5
2003-08-06,rkm470,0
2004-06-10,rkm470,4
2004-06-17,rkm470,19
2004-06-25,rkm470,40
2004-07-02,rkm470,66
2004-07-08,rkm470,36
2004-07-14,rkm470,51
2004-07-22,rkm470,39
2004-08-05,rkm470,39
2004-08-18,rkm470,3
2004-08-25,rkm470,5
2005-05-27,rkm470,6
2005-06-03,rkm470,55
2005-06-09,rkm470,52
2005-06-24,rkm470,24
2005-06-29,rkm470,40
2005-07-07,rkm470,28
2005-07-14,rkm470,8
2005-07-29,rkm470,18
2005-08-03,rkm470,3
2006-06-08,rkm470,0
2006-06-13,rkm470,0
2006-06-30,rkm470,46
2006-07-05,rkm470,29
2006-07-14,rkm470,20
2006-07-18,rkm470,20
2007-05-10,rkm470,11
2007-05-17,rkm470,10
2007-05-24,rkm470,1
2007-05-31,rkm470,2
2007-06-08,rkm470,5
2007-06-15,rkm470,3
2007-06-22,rkm470,0
2007-06-28,rkm470,0
2007-07-05,rkm470,0
2008-04-29,rkm470,0
2008-05-27,rkm470,0
2008-06-11,rkm470,0
2008-06-16,rkm470,11
2008-06-23,rkm470,17
2008-07-03,rkm470,1
2008-07-09,rkm470,2
2008-07-21,rkm470,0
2008-08-01,rkm470,0
2008-08-18,rkm470,3
2010-06-03,rkm470,0
2010-06-08,rkm470,1
2010-06-17,rkm470,4
2010-06-22,rkm470,2
2010-06-28,rkm470,0
2010-07-09,rkm470,2
2010-07-13,rkm470,0
2010-07-22,rkm470,0
2010-07-27,rkm470,0
2010-08-04,rkm470,0
2011-06-23,rkm470,0
2011-06-30,rkm470,0
2011-07-06,rkm470,0
2011-07-14,rkm470,4
2012-05-17,rkm470,0
2012-05-23,rkm470,0
2012-05-31,rkm470,0
2012-06-06,rkm470,0
2012-06-13,rkm470,1
2012-06-14,rkm470,0
2012-06-21,rkm470,0
2012-07-03,rkm470,0
2012-07-17,rkm470,0
2012-07-25,rkm470,0
2012-08-01,rkm470,0
2012-08-08,rkm470,0
2013-05-29,rkm470,0
2013-06-06,rkm470,0
2013-06-12,rkm470,1
2013-06-19,rkm470,0
2013-06-27,rkm470,3
2013-07-03,rkm470,0
2013-07-10,rkm470,3
2013-07-19,rkm470,0
2013-07-26,rkm470,0
2013-08-02,rkm470,1
2013-08-08,rkm470,0
2014-05-30,rkm470,0
2014-06-05,rkm470,0
2014-06-12,rkm470,0
2014-06-19,rkm470,0
2014-06-27,rkm470,0
2014-07-02,rkm470,0
2014-07-09,rkm470,5
2014-07-17,rkm470,1
2014-07-25,rkm470,1
2014-07-31,rkm470,1
2014-08-07,rkm470,1
2015-05-28,rkm470,0
2015-06-05,rkm470,0
2015-06-11,rkm470,0
2015-06-18,rkm470,1
2015-06-26,rkm470,0
2015-07-07,rkm470,1
2015-07-24,rkm470,0
2015-07-29,rkm470,0
2015-08-05,rkm470,0
2015-08-11,rkm470,0
2016-05-12,rkm470,1
2016-05-19,rkm470,0
2016-05-26,rkm470,0
2016-06-09,rkm470,1
2016-06-16,rkm470,0
2016-06-23,rkm470,0
2016-07-07,rkm470,0
2016-07-14,rkm470,4
2016-07-21,rkm470,0
2016-07-29,rkm470,0
2016-08-04,rkm470,0
2017-06-26,rkm470,3
2017-07-12,rkm470,0
2017-07-19,rkm470,0
2017-07-28,rkm470,0
2017-08-03,rkm470,0
2018-05-16,rkm470,0
2018-05-24,rkm470,0
2018-06-08,rkm470,0
2018-06-14,rkm470,2
2018-06-22,rkm470,1
2018-06-27,rkm470,1
2018-07-05,rkm470,4
2018-07-12,rkm470,4
2018-07-20,rkm470,0
2018-07-25,rkm470,2
2019-05-08,rkm470,3
2019-05-24,rkm470,2
2019-05-30,rkm470,2
2019-06-13,rkm470,32
2019-06-19,rkm470,42
2019-06-27,rkm470,52
2019-07-03,rkm470,29
2019-07-10,rkm470,31
2020-05-27,rkm470,0
2020-06-03,rkm470,2
2020-06-09,rkm470,2
2020-06-16,rkm470,0
2020-06-23,rkm470,8
2020-07-01,rkm470,10
2020-07-07,rkm470,6
2020-07-14,rkm470,6
2020-07-30,rkm470,1
2020-08-12,rkm470,1
2020-08-18,rkm470,0
1996-04-30,rkm479,0
1996-05-06,rkm479,4
1996-05-13,rkm479,3
1996-05-28,rkm479,3
1996-06-03,rkm479,1
1996-06-10,rkm479,1
1996-06-17,rkm479,2
1996-07-01,rkm479,1
1996-07-08,rkm479,4
1996-07-15,rkm479,3
1996-07-29,rkm479,3
1996-08-07,rkm479,1
1997-05-09,rkm479,6
1997-05-15,rkm479,2
1997-05-27,rkm479,1
1997-06-02,rkm479,0
1997-06-16,rkm479,1
1997-06-23,rkm479,2
1997-07-01,rkm479,1
1997-07-08,rkm479,1
