day,location,temperature
1996-01-25,rkm444,8.294
1996-01-26,rkm450,
1996-01-26,rkm440,
1996-01-26,rkm483,9.413
1996-01-26,rkm479,9.281
1996-01-26,rkm470,8.985
1996-01-26,rkm444,8.131
1996-01-26,rkm485,9.479
1996-01-27,rkm444,7.111000000000001
1996-01-27,rkm450,
1996-01-27,rkm470,8.508
1996-01-27,rkm440,
1996-01-27,rkm479,8.991
1996-01-27,rkm483,9.206
1996-01-27,rkm485,9.314
1996-01-28,rkm444,7.851
1996-01-28,rkm483,9.383
1996-01-28,rkm479,9.226
1996-01-28,rkm470,8.872
1996-01-28,rkm450,
1996-01-28,rkm440,
1996-01-28,rkm485,9.462
1996-01-29,rkm444,8.953
1996-01-29,rkm470,9.37
1996-01-29,rkm450,
1996-01-29,rkm483,9.578
1996-01-29,rkm440,
1996-01-29,rkm485,9.611
1996-01-29,rkm479,9.514
1996-01-30,rkm444,9.087
1996-01-30,rkm470,9.419
1996-01-30,rkm485,9.611
1996-01-30,rkm483,9.585
1996-01-30,rkm450,
1996-01-30,rkm479,9.533999999999999
1996-01-30,rkm440,
1996-01-31,rkm444,9.493
1996-01-31,rkm450,
1996-01-31,rkm440,
1996-01-31,rkm485,9.564
1996-01-31,rkm483,9.56
1996-01-31,rkm470,9.538
1996-01-31,rkm479,9.552999999999999
1996-02-01,rkm479,9.506
1996-02-01,rkm485,9.5
1996-02-01,rkm483,9.502
1996-02-01,rkm444,9.541
1996-02-01,rkm440,
1996-02-01,rkm450,
1996-02-01,rkm470,9.515
1996-02-02,rkm485,9.408999999999999
1996-02-02,rkm440,
1996-02-02,rkm444,9.557
1996-02-02,rkm450,
1996-02-02,rkm483,9.416
1996-02-02,rkm479,9.43
1996-02-02,rkm470,9.463
1996-02-03,rkm444,9.351
1996-02-03,rkm479,9.43
1996-02-03,rkm440,
1996-02-03,rkm470,9.408999999999999
1996-02-03,rkm485,9.443999999999999
1996-02-03,rkm450,
1996-02-03,rkm483,9.439
1996-02-04,rkm485,9.493
1996-02-04,rkm440,
1996-02-04,rkm483,9.513
1996-02-04,rkm450,
1996-02-04,rkm444,9.905
1996-02-04,rkm479,9.552999999999999
1996-02-04,rkm470,9.642999999999999
1996-02-05,rkm444,10.995
1996-02-05,rkm450,
1996-02-05,rkm485,9.423
1996-02-05,rkm470,9.998
1996-02-05,rkm479,9.652999999999999
1996-02-05,rkm440,
